ABSORB	swenglish absorb
BETA	graze	beet
BEVARA	preserve
BIBBI	Swedish girl name
BIBY	?
BIGARRÅ	white-heart cherry
BIGUM	Danish village, known for it's church
BILD	picture
BILDAD	educated
BILLSTA	?
BILLY	Swedish boy name
BISSA	?
BITIG	Strangely constructed word. Should mean 'bite-y', or condusive to biting.
BJURSTA	part of Sollefteå in north Sweden
BJURÖN	?
BJÄRNUM	town in south Sweden
BJÖRKEFALL	'Birch Fall'. Tiny place in south Sweden
BJÖRKEN	the birch
BJÖRKUDDEN	?
BJÖRNHOLMEN	'Bear Island' in south Finland
BLAD	leaf
BLADET	the leaf
BLADHULT	?
BLANDA	(to) mix
BLANKEN	two lakes (Big Blanken and Small Blanken) in southeast Sweden.
BLASKA	slang newspaper
BLECKA	drinking binge
BLIMP	blimp
BLIXT	lightning	(camera) flash
BLOCK	(a) block
BLOM	bloom
BLOMMA	flower
BLOMSTER	flower
BLOMÖRT	Literally 'flower herb', but it looks most like a misspelling of 'bolmört', which is the toxic plant 'stinking nightshade'
BLOSSANDE	flaring
BLUNDA	to close one's eyes
BLÅSIPPA	kidneywort
BOALT	small place in south Sweden
BOASJÖ	lake in Småland
BOHOLMEN	inland lake in central Sweden
BOLIDEN	gold mine in north Sweden
BOLLÖ	'Ball Island'. In south Sweden.
BOLMEN	lake in Småland
BOMULL	cotton
BONDIS	made up -IS word 'Bonde' means 'farmer, so 'bondis' could mean 'farmer thingie'
BONETT	?
BOREN	Swedish lake
BORNHOLM	a major Danish Island
BORRBY	?
BORRIS	made up -IS word 'Borr' means 'drill', so 'borris' could mean 'drill thingie'
BOSSE	Swedish boy name
BOÅS	?
BRALLIS	made up -IS word 'Bralla' is slang for 'pants', so 'Brallis' could mean 'pants thingie'	slang hot babe
BRANÄS	place in Småland
BRARUP	Danish church
BRASA	fireplace	slang crotch
BRAVERA	'brag' (archaic)
BRAVUR	bravura
BREDSKÄR	'Wide Island' in Finland
BRODER	brother
BRODYR	embroidery
BROMMÖ	an island in Sweden's largest lake, Vänern
BRUM	hum
BRUNKRISSLA	a flower apparently called 'Ploughman's-spikenard' in English
BRYNE	sharpening stone
BRÄDA	board	slang outcompete a rival
BULLAR	buns
BUMERANG	boomerang
BURKEN	the can
BURS	village on Gotland
BURSJÖN	?
BYGEL	U shaped metal piece. As used in stirrups, underwire bras, padlocks, electronics, etc
BYGGA	(to) build
BYHOLMA	small village in Småland
BÅDALEN	?
BÅGVIK	'Bend Bay'. Place in Småland
BÅVEN	Swedish lake
BÄRBAR	carryable. mostly used for laptop computers
BÄRBY	village outside Uppsala, Sweden
BÄSTIS	slang best friend
BÖJA	(to) bend
BÖLSNÄS	tiny place in Småland
BÖRJE	Swedish boy name
CALYPSO	calypso
CAPITA	(latin) head
CECILIA	Swedish girl name
CELEBER	famous/distinguished
CENTRERA	(to) center
CESIUM	cesium
CHARM	charm
CHARMÖR	charmer
CIRKEL	circle
CLIPS	swenglish clips
CYRIL	Ancient Greek boy name
DACKE	The leader of the Dacke War rebellion of 1542-43
DALFRED	?
DALSELV	?
DAMAST	damask
DATA	data
DAVE	English boy name
DECENNIUM	decade
DEGERNES	village in south east Norway
DEKA	slang to deteriorate
DEKAD	10 days
DELIKAT	delicious	delicate
DESSERT	dessert
DETOLF	?
DIGNITET	value, ranking
DILLING	a village in Østfold, Norway
DIMMA	(a) fog
DIMPA	drop unexpectedly
DINERA	(to) dine
DIOD	diode
DIODER	diodes
DIREKT	direct
DISKA	wash dishes
DISKRET	discreet
DISTANS	distance
DITO	ditto/likewise
DITTE	German girl name
DIVISION	division
DJUR	animal
DOCKSTA	village in north Sweden
DOFTA	to smell (nice)
DOKUMENT	(a) document
DOLD	hidden
DOMSJÖ	town in north Sweden. Home of Peter Forsberg and other ice hockey stars.
DRAGAN	Serbian/Croatian/Bosnian boy name
DRAGON	Tarragon or dragon's-wort
DRAGÖR	Danish city
DRIBBLA	dribble
DRILL	mechanical practice
DROPPAR	drops
DROPS	swenglish drops
DRYCKJOM	older word for (mostly alcoholic) drinks
DRÄLLA	slang 'muck around' or 'spill'
DRÖMMA	(to) dream
DRÖMMAR	dreams
DRÖNA	(to) idle
DUDERÖ	?
DUKTIG	capable
DUTT	a tiny amount
DVALA	hibernation
DYGN	day	24 hour period
DYNING	swell (long low wave)
DÅTID	past tense
DÄMPA	(to) soften
DÄNKA	to spray water on laundry
EDGAR	Swedish boy name
EDIT	Swedish girl name
EDLAND	village in central Norway
EDSVIK	small fishing village on Swedens west coast
EFFEKTIV	effective
EGBY	village on Öland in Sweden
EGEBY	?
EIDE	Norwegian coast town
EINA	village in central Norway
EKARP	?
EKBY	'Oak Village'. Small village in west Sweden
EKORRE	squirrel
EKTORP	?
EKÅS	'Oak Ridge'. Part of the city of Borås in west Sweden
ELDIG	fiery
ELGÅ	village in east Norway
ELIAS	Swedish boy name
ELISABET	Swedish girl name
ELLY	Swedish girl name
ELSFJORD	northern Nerwegian town
ELVERDAM	a camping site in Denmark
EMSEN	a small Swedish lake
EMU	emu
ENDIV	endive
ENERGISK	energetic
ENGAN	place in arctic Norway
ENGENES	arctic Norwegian peninsula
ENGER	small village in central Norway
ENJE	?
ENSEMBLE	ensemble
ENSEN	lake in central Sweden
ENVIS	stubborn
EPISTEL	epistle
EPOK	epoch
ERBIUM	Erbium. The 68th element, discovered in Sweden in 1843
ERFJORD	Norwegian coast town
ERIK	Swedish boy name
ERIKSLUND	village in central Sweden
ERLING	Swedish boy name
ERSERUD	?
ERSLEV	village in Denmark
EVABRITT	Swedish girl name
EVERT	Swedish boy name
EXKLUSIVT	exclusive
EXPEDIT	shop assistant
FABIAN	Swedish boy name
FABLER	fables
FADO	a Portugese folk music genre
FAMNIG	'famn' = embrace, so 'famnig' would mean 'embrace-y' if that concept made any sense.
FANAHOLM	area outside Älmhult
FANSTA	place in central Sweden
FANTAST	enthusiast
FANTASTISK	fantastic
FARTYG	(a) ship
FARUM	ancient Danish city
FAS	phase
FASTBO	?
FATTBAR	'graspable', with both hand and mind
FAVORIT	favorite
FEJKA	swenglish (to) fake
FEJÖ	Danish island
FELICIA	Swedish girl name
FEMMEN	lake in south Sweden
FENOMEN	phenomenon
FIALENA	Swedish girl name
FIBBE	?
FIDJETUN	?
FIGGJO	porcelain manufacturing village in Norway
FIGUR	figure
FIL	file	lane	Swedish youghurt
FILLSTA	place in north Sweden
FILT	blanket
FINLIR	finesse play (sports)
FINNVIK	'Finn Bay'. In Norway
FINTORP	a small place in Småland
FIRA	celebrate	lower with a rope
FISK	(a) fish
FISKÖ	'Fish Island'. Small island in west Finland.
FIXA	(to) fix
FJORDGARD	place in arctic Norway
FJÄDRAR	feathers
FJÄLLSTA	village in central Sweden
FLADDRA	(to) flutter
FLAKSA	a misspellling of flaxa ('(to) flap'), or flaska ('bottle') ...?
FLANÖR	flaneur
FLATEN	Swedish lake
FLIT	diligence
FLOKATI	ancient macedonian wool rug
FLOKENES	place in Norway
FLORA	flora
FLORERA	flourish
FLORVÅG	part of the Norwegian city of Askøy. Site of German naval base during WW2.
FLORÖ	Norways westernmost town
FLUKTA	slang (to) look
FLYGEL	grand piano	wing (of mansion)
FLYN	a village in central Sweden
FLYT	flow
FLYTTA	move
FLÅREN	lake in Småland
FLÄCKIG	spotted
FLÄNG	slang hurry/bustle	slang stupid
FLÄRKE	3 different villages in Örnsköldsvik have this name
FLÄTA	braid
FLÖRT	flirt
FNISS	giggle
FOLK	people
FONNES	place in west Norway
FORM	shape
FORMAT	format
FORSYTIA	Forsythia
FORSÅ	?
FOSSING	(baby talk) foot
FOTO	photo
FRAKTA	to transport cargo
FRAMSTÅ	(to) appear
FRAMTID	future
FRANKLIN	English boy name
FREDEN	the peace
FREDRIK	Swedish boy name
FREDRIKA	Swedish girl name
FROST	frost
FROSTA	(to) frost
FRYKEN	three lakes in west Sweden (upper, middle and lower Fryken)
FRÄCK	brazen
FRÄJEN	lake in Småland
FRÖ	seed
FUGA	fugue
FUSION	fusion
FYLLEN	two lakes (North & South Fyllen) in Småland	(archaic) 'fill!'
FÅBORG	ancient Danish city
FÅNGST	(a) catch
FÅVANG	town in central Norway
FÄRGGLAD	colorful
FÄRGRIK	colorful
FÄRM	swift
FÖRHÖJA	elevate
FÖRNUFT	reason (the capacity for rational thought)
FÖRSIKTIG	careful
FÖRVAR	storage
GABBEH	a sort of Persian carpet
GALANT	gallant
GALEJ	partying
GASELL	gazelle
GATTEN	Danish village. Has a golf court.
GEDSER	the Danish city with the ferry to Germany
GEMAK	chamber
GIDEÅ	a village in north Sweden
GILBERT	Swedish boy name
GILDA	Old girl name
GIMÅN	river in north Sweden
GLANA	stare
GLASHOLM	'Glass Island'. Place in south Sweden
GLENN	Swedish boy name
GLES	sparse
GLIMMA	gleam
GLIMT	glimpse
GLIS	dim light
GLITTER	glitter
GLOBAL	global
GLÄNSA	shine
GLÄTTIG	shiny	happy
GLÖDA	(to) glow
GNARP	town in central Sweden
GNISTRA	(to) sparkle
GODIS	candy
GODMORGON	good morning
GOLIAT	Biblical boy name
GORM	Danish boy name
GOSA	snuggle
GOSIG	snuggly
GRANAT	grenade
GRANEMO	?
GRANLIDEN	?
GRANÅS	?
GRAPEFRUKT	grape fruit
GRATINERA	(to) gratinate
GRAVYR	engraving
GREGOR	Swedish boy name
GREJ	thing
GREVBÄCK	village in south Sweden with a 700 year old church
GRILLA	(to) barbeque
GRILLER	slang strange ideas	slang ice skates
GRIMEN	?
GRIMLE	place in central Sweden
GRIMSTAD	place in Norway
GRIP	Griffin
GRODA	frog
GROGGY	groggy
GROLAND	?
GRUNDTAL	cardinal number
GRUNKA	thingie
GRYBY	'Dawn Village' in south Sweden
GRÄNUM	village in south Sweden
GRÄS	grass
GRÖNÖ	'Green Island'. A beach in Småland
GULDLIN	golden flax (plant)
GULLHOLMEN	'Gold Island'. Old fishing village on Sweden's west coast.
GULLIVER	Gulliver (the name)
GULLUNGE	?
GUNILLA	Swedish girl name
GUNVOR	Swedish girl name
GURKÖRT	borage
GUSTAV	Swedish boy name
GYLLEN	?
GYNNSAM	favorable
GÅNGBAR	viable
GÅSGRUND	'Goose Ground'. Tiny Finnish island
GÅVA	gift
GÄSPA	(to) yawn
GÖMMAREN	'The Hider'. A lake south of Stockolm
HAGALUND	site of the landmark blue highrises near Stockholm
HAGAVIK	town in west Norway
HAKE	hook
HALLARYD	village in Småland
HALOGEN	halogen
HALSTED	Danish village with a golf court, a church and a monestaryv
HAMNVIK	'Harbor Bay' in Norway
HAMPEN	a parish in central Denmark	slang marijuana
HANNES	Swedish boy name
HARESTUA	town in south Norway
HAROLA	town in west Finland
HARRY	Swedish boy name
HASSEL	hazel
HATTEN	the hat
HAVBRO	village in north Denmark
HAVTORN	Sea-buckthorn
HEAT	swenglish used in Swedish only in the sports sense, as in 'heat 3 of the qualification round'
HEDDA	short for Hedvig girl name
HEDRA	(to) honor
HEIDAL	town in central Norway
HEIMDAL	area in the Norwegian city of Trondheim
HEJKA	?
HELLUM	town in north Denmark
HELMER	Swedish boy name
HELSINGÖR	Danish city. Hamlet's home town
HEMLIS	slang secret
HEMMA	at home
HEMMET	the home
HEMNES	town in north Norway
HEMSJÖ	'Home Lake', a church village in west Sweden
HENRIKSDAL	'Henrik's Valley', village in west Finland
HENSVIK	subvillage in central Sweden
HERAND	village in west Norway
HERMAN	Swedish boy name
HERMELIN	stoat
HESSUM	in Denmark
HJARTDAL	town in south Norway
HJELMÅS	a place in west Norway
HJUVIK	a heighborhood in Göteborg
HJÄRTA	heart
HJÖRDIS	Swedish girl name
HOB	hobbit
HOJTA	slang shout
HOO	this doesn't seem to mean anything. My guess is it's 'HOOD' with a D-octomy.
HOPA	hoard
HOPEN	the crowd
HOSLE	neighborhood in the city of Bærum on south Norway
HOVEN	town in Denmark
HOVET	a major ice hockey arena in Stockholm
HOVSKÄR	?
HOVÅS	a part of Askim in Gothenburg, Sweden
HUGLO	an island in west Norway
HUGO	Swedish boy name
HULDA	Swedish girl name
HULINGEN	the lake by the city of Hultsfred in south Sweden
HULTET	?
HULTÖ	Island off the Småland coast
HUSNES	Aluminium town in west Norway
HUSVIK	place in north Norway
HUSÅ	'House Creek. Swedish mountain village
HUSÖN	?
HUTTEN	the shot (of alcohol)
HYLLIS	made up -IS word 'Hylla' means 'shelf', so 'Hyllis' could mean 'shelf thingie'
HYTTAN	an iron ore or glass furnace
HÅBOL	small village in west Sweden
HÅLLARE	holder
HÅVA	there seems to be no English word for using a landing net? Anyway, the term is most used meaning 'raking in'
HÄGG	the tree called 'bird cherry' or 'mayday tree' in English
HÄLSA	health	(to) greet
HÄSTVEDA	town in south Sweden
HÄSTÖ	'Horse Island' in Småland
HÖLLVIKEN	beach town on the southern edge of sweden
HÖRBY	city in south Sweden
IBESTAD	city in arctic Norway
IDEAL	ideal (noun)
IDEALISK	ideal (adjective)
IDELIG	(annoyingly) perpetual and repetitive
IDGRUND	?
IDYLL	idyll
IKEA	the name comes from the initials of the founder, Ingvar Kamprad, his home farm Elmtaryd, and village and Agunnaryd
ILSBO	village in north Sweden
IMPULS	impulse
INDEX	index
INDIRA	Indian girl name
INDO	?
INEZ	Swedish girl name
INFO	info
INGEMAR	Swedish boy name
INGER	Swedish girl name
INGO	nickname for 'Ingemar'. Mostly refers to boxing legend Ingemar Johansson
INGOLF	Ancient Scandinavian boy name
INLOPP	inlet
INNER	centre midfielder in football
INREDA	furnish
INSATS	contribution/stake
IRIS	Swedish girl name
IRJA	Russian/Finnish girl name
IRMA	Swedish girl name
ISDANS	ice dance
ISKORN	ice pellets
ISTAD	?
IVAR	Swedish boy name
IVETOFTA	parish in south Sweden
JABBA	(to) jab (boxing term)
JAKOB	Swedish boy name
JANNE	Swedish boy name
JANSJÖ	lake in north Sweden
JANUARI	January
JAREN	village in west Sweden
JAVNAKER	?
JEFF	Swedish boy name
JERRIK	Ancient Scandinavian boy name
JESPER	Swedish boy name
JIGGA	to dance jig	to engage in jig fishing
JOAKIM	Swedish boy name
JOHAN	Swedish boy name
JOKER	joker
JOKKMOKK	arctic Swedish town
JONAS	Swedish boy name
JONDAL	town in west Norway
JONISK	ionic	ionian
JONSBERG	parish in east Sweden
JONSBO	?
JORUN	Swedish girl name
JUBILAR	person celebrating anniversary
JUBLA	(to) cheer
JULES	French boy name
JULIUS	Ancient boy name
JULROS	christmas rose
JYLLINGE	city in Denmark
JÄGRA	?
JÄMSUNDA	place in south Sweden
JÄRLEBO	place in central Sweden
JÖKEL	glacier (from Icelandic)
KAFFE	coffee
KAJ	pier	Swedish boy name
KAJSA	Swedish girl name
KAJSASTINA	Swedish girl name
KALAS	(a) party
KALASET	the party
KALLT	cold
KAMFER	camphor
KAMRATER	friends	comrades
KANIN	rabbit
KANIST	?
KAPA	cut	hijack
KARBY	?
KARDEMUMMA	cardamom
KARENS	?
KARLSKRONA	Swedens main naval base
KARLSTAD	the capital of Värmland in west Sweden
KARLSÖ	'Charles Island'. In south Sweden.
KARSTEN	German boy name
KASSETT	cassette
KASTANJ	chestnut
KATTRUP	danish village
KATTUDDEN	'Cape Cat'. place in west Sweden.
KAUSTBY	town in Finland (the map shows the finnish name)
KAVALKAD	cavalcade
KAXIG	cocky
KELIG	cuddly
KETTY	Italian girl name
KIBÄK	danish town
KILAN	?
KILBY	place in central Sweden
KIRP	US professor and author David L. Kirp is the ONLY remotely well known 'kirp' I can find...
KIVSTA	place in central Sweden
KLACK	shoe heel
KLADD	goo	rough copy
KLAPPSTA	?
KLAVIATUR	(piano) keyboard
KLAVSTA	?
KLEMENS	Swedish boy name
KLINGSBO	?
KLIPPAN	'The Rock'. City in south Sweden. My mother is from Klippan.
KLIPPIG	rocky
KLOBO	?
KLOSS	toy block
KLUBBO	tiny place in arctic Norway
KLUDD	a clumsy drawing
KLÄPPE	unknown place in north Sweden
KLÄTT	Common Corncockle
KNAPPA	scarce	gain on
KNASTER	crackle
KNIPSA	(to) snip
KNODD	slang child
KNOPPA	slang sleep
KNUBBIG	chubby
KNUFF	push/nudge
KNYCK	jerk/yank
KNÖS	slang rich person
KOJA	hut/shed
KOLDBY	'Cold Town'. Town in north west Denmark
KOLJA	haddock
KOLON	Colon (punctuation)
KOMISK	comical
KOMMERS	commerce
KOMPISAR	friends/buddies
KOMPLEMENT	complement
KONCIS	concise
KONST	art
KOPPANG	Norwegian city
KORALL	coral
KORPO	island town in Finland
KORREKT	correct
KORSFJORD	?
KORT	short	card
KOSING	slang cash
KOTTAR	pine cones
KOTTE	pine cone
KOTTEBO	?
KRABB	choppy (sailor jargon)
KRAFTIG	powerful
KRAM	(a) hug
KRAMA	(to) hug
KRAMFORS	city in north Sweden
KRAMSNÖ	easily shapable snow (Swedes have as many words for snow as eskimos)
KRISTALLER	crystals
KRITTER	critter
KROBY	?
KROKEN	the hook
KROKVIK	?
KRUS	stone jar
KRYP	creep
KRYSSBO	place in central Sweden
KRÄMARE	peddler
KULLA	a female Dalecarlian
KULLEN	'The Hill'. Site of a famous lighthouse in south Sweden
KURA	crouch
KUVERT	envelope
KVARNSTEN	millstone
KVART	quarter (of an hour)
KVARTA	slang (to) sleep
KVARTAL	quarter (of a year)
KVIBY	?
KVINTETT	quintet
KVINTOL	a 5:4 tuplet
KVISSEL	town in north Denmark
KVIST	twig
KYLIGT	chilly
KÅRABODA	place in south Sweden
KÄRNA	core
KÖGE	Danish port city
LACK	varnish	slang angry
LADDA	(to) load
LADE	?
LAGAN	river and town in south Sweden
LAGRA	(to) store
LAIVA	Finnish word for 'ship'
LAMPAN	the lamp
LANNI	?
LANSA	?
LAUKVIK	arctic Norwegian fishing and tourist village
LAVER	?
LAXEBY	'Salmon Village'. On Öland in south Sweden
LEGITIM	legitimate
LEGYM	legume
LEIRVIK	'Clay Bay', a town in Norway
LEKA	play
LEKMAN	layman
LEKPLATS	playground
LEKSVIK	a town in central Norway
LEN	soft
LENA	Swedish girl name
LENDA	Old Germanic girl name
LERAN	the clay
LERBERG	'Mud Mountain'. Village in south Norway
LERBÄCK	'Mud Creek. Village in central Sweden
LERDAL	?
LERSTA	?
LEVANGER	Norwegian city
LIARED	?
LIATORP	a village in south Sweden
LIDAN	?
LILJA	lily
LILL	Swedish girl name
LILLABO	?
LILLBERG	?
LILLEBY	'Little Village'. Suburb of Gothenburg, Sweden.
LILLESAND	city in south Norway
LILLHOLMEN	?
LILLÅKER	'Smallfield'. small place in Småland
LILLÅNGEN	lake in Småland
LIMMAREN	Swedish lake
LINDMON	place in west Sweden
LINDSDAL	town in Småland
LINDVED	a Danish town
LINGO	swenglish Lingo
LINJE	line
LINNARP	an apparently uninhabited place in south Sweden
LJUDA	to sound out each letter as you write it
LJUNG	Common Heather
LJUSDAL	a town in central Sweden
LJUSNAN	major river in central Sweden
LJUSÅS	unknown place in Småland
LJUV	lovely
LJUVLIG	lovely
LOCK	lid	lock of hair	lure
LOGGA	log
LOKKA	a lake in arctic Finland
LONEVÅG	the center of the west Norwegian city of Osterøy
LOSSNEN	?
LOTS	maritime pilot
LOVANDE	promising
LOVIKEN	?
LUDDE	Swedish boy name
LUDVIG	Swedish boy name
LUFTIG	airy
LUGN	calm
LUMMIG	lush (about vegetaion)
LUNS	?
LUNTA	tome	fuse (for explosive)
LUPIN	lupin
LURÖY	town in north Norway
LUSTIFIK	jocular
LUSY	?
LYCKA	happiness
LYCKHEM	?
LYCKSELE	town in north Sweden
LYDUM	a small parish in west Denmark with a 1000 year old church
LYFT	(a) lift
LYKTA	lantern
LYSTER	lustre
LÅGIS	made up -IS word 'Låg' means 'low', so 'Lågis' could mean 'low thingie'
LÄKT	healed	lath
LÄMPLIG	suitable
LÄTT	easy
LÄTTSAM	light hearted
LÖKÖ	'Onion Island' in south Sweden.
LÖMSK	insidious
LÖV	leaf
LÖVA	decorate with leafs
MACKIS	made up -IS word 'Macka' is slang for 'sandwich', so 'Mackis' could mean 'sandwich thingie
MAGASIN	magazine	storage unit
MAGGAN	Swedish girl name
MAGNIFIK	magnificent
MAJBY	9 people in Sweden have this last name. Nothing else seems to.
MAJKEN	Swedish girl name
MAJVOR	Swedish girl name
MALM	ore	suburb
MALMA	?
MALOU	Swedish girl name
MALTE	Swedish boy name
MAMMUT	mammoth
MANDAL	?
MANDEL	almond
MANGER	town in west Norway
MANNE	Swedish boy name
MAREN	?
MARGINAL	margin
MARIEBERG	part of central Stockholm
MARIUS	Roman boy name
MARKLAND	?
MARKUS	Swedish boy name
MARKÖR	marker
MARTIN	Swedish boy name
MATA	(to) feed
MATILDA	Swedish girl name
MATTEUS	Swedish boy name
MAVAS	place in arctic Sweden
MEDALJ	medal
MEDALJONG	medallion
MELBU	arctic Norwegian fishing village
MELDAL	small city in central Norway
MELLTORP	village in Småland
MELODI	melody
MERETE	Scandinavian girl name
METALL	metal
METRIK	?
MIEN	a meteorite crater lake in Småland
MIKAEL	Swedish boy name
MIL	Swedish mile = 10km
MINDE	Neighborhood in the city of Bergen, west Norway
MINIFÅNGST	mini catch
MINNA	remind
MINNEN	memories
MIX	(a) mix
MIXA	(to) mix
MIXTUR	mixture (older word)
MJÄLLBY	fishing town in south Sweden, known for it's football team
MJÖD	mead
MJÖNÄS	small village in south Sweden
MOLGER	?
MOLNIG	cloudy
MONGSTAD	major oil port and refinery in Norway
MOSES	Moses
MOSIPPA	the flower 'Anemone Vernalis' has no English name
MOSJÖ	tiny village in north Sweden
MOTORP	?
MOTTO	motto
MUDDUS	a Swedish National Park
MULA	mule	rub with snow
MUMSIG	yummy
MUSIK	music
MYDAL	?
MYKEN	remote lighthouse island in arctic Norway
MYS	coziness
MYSA	to be cozy
MYSKMALVA	the flower Musk-mallow
MÅBÄR	Alpine Currant
MÅLA	(to) paint
MÅNSTAD	'Moon City' town in west Sweden
MÅSNAN	?
MÅTTLIG	moderate
MÄLARÖ	common name for any island in Lake Mälaren by Stockholm
MÄRIT	Swedish girl name
MÖKERN	?
MÖRKER	darkness
MÖRRUM	city in south east Sweden
NANDOR	a tribe of elves in the Tolkien world	Hungarian boy name
NATT	night
NEGLINGE	part the city of Nacka, by Stockholm
NEJLIKA	carnation
NEKTARIN	Nectarine
NIDELVA	?
NILS	Swedish boy name
NISSE	Swedish boy name
NIVÅ	level
NJUTA	(to) enjoy
NOGA	careful
NOJS	?
NOMINELL	nominal
NON	?
NORBO	?
NORDANÖ	'Northerly Wind Island'. Part of the Swedish city on Avesta. Not an Island.
NORDEN	the north	the nordic countries
NORDMYRA	?
NORESUND	?
NORNA	one of the three destiny goddesses in norse mythologyW	the Calypso orchid
NORREBO	?
NORRESKOG	'North Forest'. Place in south Sweden.
NORRSKEN	northern lights
NORRSTEN	'Northstone'. Swedish village
NORVALD	Norwegian boy name
NOSTALGISK	nostalgic
NOT	note
NUMERÄR	number/size
NUTID	the present	present tense
NYSTED	city in south Denmark
NYTTA	usefulness
NYTTIG	useful
NYTTJA	(to) use
NÄCKTEN	lake in central Sweden
NÄRA	near
NÄSBY	?
NÄSSJÖ	a city in Småland
NÄSTVED	Danish city
NÄSUM	town in south Sweden
NÄTT	neat
NÖJE	entertainment
OBI	?
OBSERVATÖR	observer
ODDA	?
ODDVAR	Norwegian boy name
OFELIA	Swedish girl name
OLARP	?
OLLE	Swedish boy name
OLUNDA	?
OMAR	Swedish boy name
OMSORG	care, concern
OPTIMAL	optimal
ORDNING	order
ORE	village in central Denmark
ORGEL	organ (the keyboard instrument)
ORKIDE	orchid
ORMO	?
ORRLÖT	a resort outside Stockholm
ORÖD	a tiny, unknown place in south Sweden
OXEL	'Swedish Whitebeam', a northern European plant related to the Rose bush
OXSKÄR	'Ox Island'. Small Swedish west coast island	'Ox Island'. Small Swedish east coast island
PAPAJA	papaya
PARAGRAF	paragraph
PARK	(a) park
PATRICIA	Swedish girl name
PATRIK	Swedish boy name
PATRULL	patrol
PAX	dibs
PELLO	town in arctic Finland
PERSIKA	peach
PERSISK	persian
PETRONELLA	Swedish girl name
PILATORP	tiny village or far in south Sweden
PINJE	stone pine
PIRO	?
PJÄS	piece	(theatrical) play
PJÄTTERYD	parish in Småland where Ingvar Kamprad was born
PLAN	plan
PLANK	wooden fence	planks
PLASTIS	made up -IS word 'Plast' means 'plastic', so 'plastis' could mean 'plastic thingie'	'plastic ice' or 'plasty'
PLATTA	plate	slab
PLINGA	(to) pling
PLUS	plus
PLUTT	small boy
POKAL	trophy
POLARVIDE	polar willow
POMP	pomp
PORTIS	slang doorman
POVEL	Swedish boy name
POÄNG	point
PRAKTFULL	splendid
PREMIÄR	premiere
PRESSA	(to) press
PRESTERA	perform	produce
PRICKIG	spotted
PRODUKT	product
PROMPT	prompt
PROPER	proper	fancy
PRUTA	haggle
PRÄGEL	imprint
PRÄKTIG	good/strong/reliable	slang overly wholesome
PRÖJS	slang pay
PS	PS
PUGG	?
PULT	podium
PUNKT	point	dot
PYRA	(to) smolder
PYSSLA	tinker
PÅLITLIG	reliable
PÅTÅR	coffee refill
PÄLLBO	place in central Sweden
RABALDER	hullaballoo
RADIUM	radium
RAGNA	Swedish girl name
RAJTAN	slang 'rajtan tajtan' is a silly slang term for 'partying'
RAKET	rocket
RAM	frame
