/ˈeɪ/, /ə/	a
/ˌækədɪmˈɪʃənz/	academicians
/ˌækədˈɛmɪks/	academics
/ɐkˈædəmɪz/	academies
/ɐkˈædəmi/	academy
/ɐkˈɑːnθəs/	acanthus
/ɐksˈiːdɪd/	acceded
/ɐksˈiːd/	accede
/ɐksˈiːdɪŋ/	acceding
/ɐksˌɛləɹˈændəʊ/	accelerando
/ɐksˈɛləɹənt/	accelerant
/ɐksˈɛləɹˌeɪtɪd/	accelerated
/ɐksˈɛləɹˌeɪt/	accelerate
/ɐksˈɛləɹˌeɪts/	accelerates
/ɐksˈɛləɹˌeɪtɪŋ/	accelerating
/ɐksˌɛləɹˈeɪʃən/	acceleration
/ɐksˌɛləɹˈeɪʃənz/	accelerations
/ɐksˈɛləɹˌeɪtɐ/	accelerator
/ɐksˈɛləɹˌeɪtəz/	accelerators
/ɐksˌɛləɹˈɒmɪtɐ/	accelerometer
/ɐksˌɛləɹˈɒmɪtəz/	accelerometers
/ˈæksəntɪd/	accented
/æksˈɛntʃuːˌeɪt/	accentuate
/æksˈɛntʃuːˌeɪtɪd/	accentuated
/æksˈɛntʃuːˌeɪts/	accentuates
/æksˈɛntʃuːˌeɪtɪŋ/	accentuating
/ɐksˌɛptəbˈɪlɪti/	acceptability
/ɐksˈɛptəbəl/	acceptable
/ɐksˈɛptəbli/	acceptably
/ɐksˈɛptəns/	acceptance
/ɐksˈɛptənsɪz/	acceptances
/ɐksɪptˈeɪʃən/	acceptation
/ɐksˈɛptɪd/	accepted
/ɐksˈɛptɪŋ/	accepting
/ɐksˈɛpt/	accept
/ɐksˈɛpts/	accepts
/ˈæksɛs/	access
/ˈæksɛst/	accessed
/ˈæksɛsɪz/	accesses
/ɐksˌɛsəbˈɪlɪti/	accessibility
/ɐksˈɛsəbəl/	accessible
/ɐksˈɛsəbli/	accessibly
/ˈæksɛsɪŋ/	accessing
/ɐksˈɛʃən/	accession
/ɐksˈɛsəɹˌiz/	accessories
/ɐksˈɛsɔːɹˌaɪzd/	accessorised
/ɐksˈɛsɔːɹˌaɪz/	accessorise
/ɐksˈɛsɔːɹˌaɪzɪŋ/	accessorising
/ɐksˈɛsəɹˌi/	accessory
/ˈæksɪdənt/	accident
/ˌæksɪdˈɛntəl/	accidental
/ˌæksɪdˈɛntəli/	accidentally
/ˈæksɪdəntli/	accidently
/ˈæksɪdənts/	accidents
/ˈæksɪdi/	accidie
/ɐklˈeɪmd/	acclaimed
/ɐklˈeɪmɪŋ/	acclaiming
/ɐklˈeɪm/	acclaim
/ɐklˈeɪmz/	acclaims
/ɐklɐmˈeɪʃən/	acclamation
/ɐklˈaɪmətɪd/	acclimated
/ɐklˈaɪmət/	acclimate
/ɐklˌaɪmɐtaɪzˈeɪʃən/	acclimatisation
/ɐklˈaɪmɐtˌaɪzd/	acclimatised
/ɐklˈaɪmɐtˌaɪz/	acclimatise
/ɐklˈaɪmɐtˌaɪzɪŋ/	acclimatising
/ˈækəlˌeɪd/	accolade
/ˈækəlˌeɪdz/	accolades
/ɐkˈɒmədˌeɪtɪd/	accommodated
/ɐkˈɒmədˌeɪt/	accommodate
/ɐkˈɒmədˌeɪts/	accommodates
/ɐkˈɒmədˌeɪtɪŋ/	accommodating
/ɐkˌɒmədˈeɪʃən/	accommodation
/ɐkˌɒmədˈeɪʃənz/	accommodations
/ɐkˈʌmpənɪd/	accompanied
/ɐkˈʌmpənɪz/	accompanies
/ɐkˈʌmpɐnˌɪmənt/	accompaniment
/ɐkˈʌmpɐnˌɪmənts/	accompaniments
/ɐkˈʌmpɐnˌɪst/	accompanist
/ɐkˈʌmpɐnˌɪsts/	accompanists
/ɐkˈʌmpənɪɪŋ/	accompanying
/ɐkˈʌmpəni/	accompany
/ɐkˈɒmplɪs/	accomplice
/ɐkˈɒmplɪsɪz/	accomplices
/ɐkˈɒmplɪʃt/	accomplished
/ɐkˈɒmplɪʃɪz/	accomplishes
/ɐkˈɒmplɪʃɪŋ/	accomplishing
/ɐkˈɒmplɪʃ/	accomplish
/ɐkˈɒmplɪʃmənt/	accomplishment
/ɐkˈɒmplɪʃmənts/	accomplishments
/ɐkˈɔːdəns/	accordance
/ɐkˈɔːdənt/	accordant
/ɐkˈɔːdɪd/	accorded
/ɐkˈɔːdɪŋ/	according
/ɐkˈɔːdɪŋli/	accordingly
/ɐkˈɔːdɪənˌɪst/	accordionist
/ɐkˈɔːdɪənˌɪsts/	accordionists
/ɐkˈɔːdiən/	accordion
/ɐkˈɔːdiənz/	accordions
/ɐkˈɔːd/	accord
/ɐkˈɔːdz/	accords
/ɐkˈɒstɪd/	accosted
/ɐkˈɒstɪŋ/	accosting
/ɐkˈɒst/	accost
/ɐkˈɒsts/	accosts
/ɐkˌaʊntəbˈɪlɪti/	accountability
/ɐkˈaʊntəbəl/	accountable
/ɐkˈaʊntənsi/	accountancy
/ɐkˈaʊntənt/	accountant
/ɐkˈaʊntənts/	accountants
/ɐkˈaʊntɪd/	accounted
/ɐkˈaʊntɪŋ/	accounting
/ɐkˈaʊnt/	account
/ɐkˈaʊnts/	accounts
/ɐkˈuːtɹəd/	accoutred
/ɐkˈuːtɹɪmənt/	accoutrement
/ɐkˈuːtɹɪmənts/	accoutrements
/ɐkɹˌɛdɪtˈeɪʃən/	accreditation
/ɐkɹˈɛdɪtɪd/	accredited
/ɐkɹˈɛdɪts/	accredits
/ɐkɹˈiːtɪd/	accreted
/ɐkɹˈiːt/	accrete
/ɐkɹˈɛʃən/	accretion
/ɐkɹˈɛʃənz/	accretions
/ɐkɹˈuːəl/	accrual
/ɐkɹˈuːd/	accrued
/ɐkɹˈuː/	accrue
/ɐkɹˈuːz/	accrues
/ɐkɹˈuːɪŋ/	accruing
/ɐkˈʌltʃəɹˌeɪtɪd/	acculturated
/ɐkjˈuːmjʊlˌeɪtɪd/	accumulated
/ɐkjˈuːmjʊlˌeɪt/	accumulate
/ɐkjˈuːmjʊlˌeɪts/	accumulates
/ɐkjˈuːmjʊlˌeɪtɪŋ/	accumulating
/ɐkjˌuːmjʊlˈeɪʃən/	accumulation
/ɐkjˌuːmjʊlˈeɪʃənz/	accumulations
/ɐkjˈuːmjʊlətˌɪv/	accumulative
/ɐkjˈuːmjʊlˌeɪtɐ/	accumulator
/ɐkjˈuːmjʊlˌeɪtəz/	accumulators
/ˈækjʊɹəsi/	accuracy
/ˈækjʊɹət/	accurate
/ˈækjʊɹətli/	accurately
/ɐkˈɜːsɪd/	accursed
/ˌækjuːzˈeɪʃən/	accusation
/ˌækjuːzˈeɪʃənz/	accusations
/ɐkjˈuːzətˌɪv/	accusative
/ɐkjˈuːzətəɹˌi/	accusatory
/ɐkjˈuːzd/	accused
/ɐkjˈuːz/	accuse
/ɐkjˈuːzɐ/	accuser
/ɐkjˈuːzəz/	accusers
/ɐkjˈuːzɪz/	accuses
/ɐkjˈuːzɪŋ/	accusing
/ɐkjˈuːzɪŋli/	accusingly
/ɐkˈʌstəmd/	accustomed
/ɐkˈʌstəm/	accustom
/ˈeɪst/	aced
/ˈeɪs/	ace
/ɐsˈɜːbɪk/	acerbic
/ˈeɪsɪz/	aces
/ˈæsɪtˌeɪt/	acetate
/ˈæsɪtˌeɪts/	acetates
/ɐsˈiːtɪk/	acetic
/ˈæsɪtˌəʊn/	acetone
/ˈæsɪtˌaɪl/	acetyl
/ɐsˈɛtəlˌiːn/	acetylene
/ˈeɪkt/	ached
/ˈeɪkz/	aches
/ɐtʃˈiːvəbəl/	achievable
/ɐtʃˈiːvd/	achieved
/ɐtʃˈiːvmənts/	achievements
/ɐtʃˈiːvmənt/	achievement
/ɐtʃˈiːvəz/	achievers
/ɐtʃˈiːvɐ/	achiever
/ɐtʃˈiːvz/	achieves
/ɐtʃˈiːv/	achieve
/ɐtʃˈiːvɪŋ/	achieving
/ˈeɪkɪŋ/	aching
/ɐtʃɪŋlˈi/	achingly
/ɐtʃˈuː/	achoo
/ˈeɪki/	achy
/ˈæsɪd/	acid
/ɐsˈɪdɪk/	acidic
/ɐsˌɪdɪfɪkˈeɪʃən/	acidification
/ɐsˈɪdɪfˌaɪd/	acidified
/ɐsˈɪdɪfˌaɪɪŋ/	acidifying
/ɐsˈɪdɪfˌaɪ/	acidify
/æsˈɪdɪti/	acidity
/ɐsɪdˈəʊsɪs/	acidosis
/ɐsɪdˈɒtɪk/	acidotic
/ˈæsɪdz/	acids
/ɐsˈɪdjʊlˌeɪtɪd/	acidulated
/ˈeɪsɪŋ/	acing
/ɐknˈɒlɪdʒd/	acknowledged
/ɐknˈɒlɪdʒ/	acknowledge
/ɐknˈɒlɪdʒmənt/	acknowledgement
/ɐknˈɒlɪdʒmənts/	acknowledgements
/ɐknˈɒlɪdʒɪz/	acknowledges
/ɐknˈɒlɪdʒɪŋ/	acknowledging
/ɐknˈɒlɪdʒmənt/	acknowledgment
/ɐknˈɒlɪdʒmənts/	acknowledgments
/ˈækmi/	acme
/ˈækni/	acne
/ˈækəlˌaɪt/	acolyte
/ˈækəlˌaɪts/	acolytes
/ˈækənˌaɪt/	aconite
/ˈækənˌaɪts/	aconites
/ˈeɪkɔːn/	acorn
/ˈeɪkɔːnz/	acorns
/ɐkˈuːstɪkəl/	acoustical
/ɐkˈuːstɪkli/	acoustically
/ɐkuːstˈɪʃən/	acoustician
/ɐkuːstˈɪʃənz/	acousticians
/ɐkˈuːstɪk/	acoustic
/ɐkˈuːstɪks/	acoustics
/ɐkwˈeɪntəns/	acquaintance
/ɐkwˈeɪntənsʃˌɪp/	acquaintanceship
/ɐkwˈeɪntənsɪz/	acquaintances
/ɐkwˈeɪntɪd/	acquainted
/ɐkwˈeɪntɪŋ/	acquainting
/ɐkwˈeɪnt/	acquaint
/ˌækwɪˈɛs/	acquiesce
/ˌækwɪˈɛst/	acquiesced
/ˌækwɪˈɛsəns/	acquiescence
/ˌækwɪˈɛsənt/	acquiescent
/ˌækwɪˈɛsɪz/	acquiesces
/ˌækwɪˈɛsɪŋ/	acquiescing
/ɐkwˈaɪəd/	acquired
/ɐkwˈaɪə/	acquire
/ɐkwˈaɪəɹɐ/	acquirer
/ɐkwˈaɪəz/	acquires
/ɐkwˈaɪəɹɪŋ/	acquiring
/ɐkwɪsˈɪʃən/	acquisition
/ɐkwɪsˈɪʃənz/	acquisitions
/ɐkwˈɪzɪtˌɪv/	acquisitive
/ɐkwˈɪt/	acquit
/ɐkwˈɪts/	acquits
/ɐkwˈɪtəl/	acquittal
/ɐkwˈɪtəlz/	acquittals
/ɐkwˈɪtɪd/	acquitted
/ɐkwˈɪtɪŋ/	acquitting
/ˈeɪkəɹɪdʒ/	acreage
/ˈeɪkəɹɪdʒɪz/	acreages
/ˈeɪkəd/	acred
/ˈeɪkəz/	acres
/ˈækɹɪd/	acrid
/ˌækɹɪmˈəʊnɪəs/	acrimonious
/ˌækɹɪmˈəʊnɪəsli/	acrimoniously
/ˈækɹɪməni/	acrimony
/ˈækɹəbˌæt/	acrobat
/ˌækɹəbˈætɪk/	acrobatic
/ˌækɹəbˈætɪkli/	acrobatically
/ˌækɹəbˈætɪks/	acrobatics
/ˈækɹəbˌæts/	acrobats
/ˈækɹəʊmɡəli/	acromegaly
/ækɹˈəʊmiən/	acromion
/ˈækɹənˌɪm/	acronym
/ˈækɹənˌɪmz/	acronyms
/ˌækɹəfˈəʊbiə/	acrophobia
/ækɹˈɒpəlˌiz/	acropolis
/əkɹˈɒs/	across
/ækɹˈɒstɪks/	acrostics
/ɐkɹˈɪlɪk/	acrylic
/ɐkɹˈɪlɪks/	acrylics
/ˈækt/	act
/ˈæktɪd/	acted
/ˈæktɪn/	actin
/ˈæktɪŋ/	acting
/æktˈɪnɪk/	actinic
/ˈæktɪnˌaɪd/	actinide
/æktˈɪniəm/	actinium
/ˈækʃənəbəl/	actionable
/ˈækʃən/	action
/ˈækʃənz/	actions
/ˈæktɪvˌeɪt/	activate
/ˈæktɪvˌeɪtɪd/	activated
/ˈæktɪvˌeɪts/	activates
/ˈæktɪvˌeɪtɪŋ/	activating
/ˌæktɪvˈeɪʃən/	activation
/ˌæktɪvˈeɪʃənz/	activations
/ˈæktɪvˌeɪtɐ/	activator
/ˈæktɪv/	active
/ˈæktɪvli/	actively
/ˈæktɪvz/	actives
/ˈæktɪvˌɪzəm/	activism
/ˈæktɪvˌɪst/	activist
/ˈæktɪvˌɪsts/	activists
/æktˈɪvɪtiz/	activities
/æktˈɪvɪti/	activity
/ˈæktɐ/	actor
/ˈæktəz/	actors
/ˈæktɹəs/	actress
/ˈæktɹəsɪz/	actresses
/ˈækts/	acts
/ˈæktʃuːəl/	actual
/ˌæktʃuːəlaɪzˈeɪʃən/	actualisation
/ˈæktʃuːəlˌaɪz/	actualise
/ˈæktʃuːəlˌaɪzd/	actualised
/ˌæktʃuːˈælɪtiz/	actualities
/ˌæktʃuːˈælɪti/	actuality
/ˈæktʃuːəli/	actually
/ˌæktʃuːˈeəɹɪəl/	actuarial
/ˌæktʃuːˈeəɹɪəli/	actuarially
/ˈæktʃuːəɹiz/	actuaries
/ˈæktʃuːəɹi/	actuary
/ˈæktʃuːˌeɪtɪd/	actuated
/ˈæktʃuːˌeɪtɐ/	actuator
/ˈæktʃuːˌeɪtəz/	actuators
/ɐkjˈuːɪti/	acuity
/ˈækjuːmˌɛn/	acumen
/ˈækəpɹˌɛʃɐ/	acupressure
/ˈækjuːpˌʌŋktʃɐ/	acupuncture
/ˈækjuːpˌʌŋktʃəɹˌɪst/	acupuncturist
/ɐkjˈuːt/	acute
/ɐkjˈuːtli/	acutely
/ɐkjˈuːtnəs/	acuteness
/ɐkjˈuːtɐ/	acuter
/ɐkˈaɪkləvˌiə/	acyclovir
/ˈæd/	ad
/ˈædɪdʒ/	adage
/ˈædɪdʒɪz/	adages
/ædˈɑːdʒɪˌəʊ/	adagio
/ˈædəmənt/	adamant
/ˈædɐmˌɑːntiːn/	adamantine
/ˈædəməntli/	adamantly
/ɐdˌæptəbˈɪlɪti/	adaptability
/ɐdˈæptəbəl/	adaptable
/ɐdɐptˈeɪʃən/	adaptation
/ɐdɐptˈeɪʃənz/	adaptations
/ɐdˈæpt/	adapt
/ɐdˈæptɪd/	adapted
/ɐdˈæptɐ/	adapter
/ɐdˈæptəz/	adapters
/ɐdˈæptɪŋ/	adapting
/ɐdˈæpʃən/	adaption
/ɐdˈæpʃənz/	adaptions
/ɐdˈæptɪv/	adaptive
/ɐdˈæptɪvli/	adaptively
/ɐdˈæptɐ/	adaptor
/ɐdˈæptəz/	adaptors
/ɐdˈæpts/	adapts
/ˈæd/	add
/ˈædɪd/	added
/ɐdˈɛndəm/	addendum
/ˈædɐ/	adder
/ˈædəz/	adders
/ɐdˈɪktɪd/	addicted
/ɐdˈɪktɪŋ/	addicting
/ɐdˈɪkʃən/	addiction
/ɐdˈɪkʃənz/	addictions
/ɐdˈɪktɪv/	addictive
/ˈædɪŋ/	adding
/ɐdˈɪʃənəl/	additional
/ɐdˈɪʃənəli/	additionally
/ɐdˈɪʃən/	addition
/ɐdˈɪʃənz/	additions
/ˈædɪtˌɪv/	additive
/ˈædɪtˌɪvz/	additives
/ˈædəl/	addle
/ˈædəld/	addled
/ˈædəlz/	addles
/ˈædlɪŋ/	addling
/ɐdɹˈɛsəbəl/	addressable
/ɐdɹˈɛst/	addressed
/ɐdɹˈɛsiː/	addressee
/ɐdɹˈɛsɪz/	addresses
/ɐdɹˈɛsɪŋ/	addressing
/ˈædz/	adds
/ɐdjˈuːst/	adduced
/ɐdjˈuːs/	adduce
/ɐdˈʌktɐ/	adductor
/ˈædənˌiːn/	adenine
/ˌædənˌɒkɑːsɪnˈəʊmɐ/	adenocarcinoma
/ˈædənˌɔɪdəl/	adenoidal
/ˈædənˌɔɪdz/	adenoids
/ˈædənˌɒsaɪn/	adenosine
/ɐdˈɛptli/	adeptly
/ɐdˈɛptnəs/	adeptness
/ˈædɪkwəsi/	adequacy
/ˈædɪkwət/	adequate
/ˈædɪkwətli/	adequately
/ædhˈiəd/	adhered
/ɐdhˈiə/	adhere
/ɐdhˈiəɹəns/	adherence
/ɐdhˈiəɹənt/	adherent
/ɐdhˈiəɹənts/	adherents
/ɐdhˈiəz/	adheres
/ædhˈiəɹɪŋ/	adhering
/ɐdhˈiːʒən/	adhesion
/ɐdhˈiːsɪv/	adhesive
/ɐdhˈiːsɪvz/	adhesives
/ˌeɪdɪɐbˈætɪk/	adiabatic
/ɐdjˈuː/	adieu
/ɐdjˈuːz/	adieux
/ˈædɪpˌəʊz/	adipose
/ˈædɪts/	adits
/ɐdʒˈeɪsənt/	adjacent
/ˌædʒɪktˈaɪvəl/	adjectival
/ˈædʒɪktˌɪv/	adjective
/ˈædʒɪktˌɪvz/	adjectives
/ɐdʒˈɔɪn/	adjoin
/ɐdʒˈɔɪnd/	adjoined
/ɐdʒˈɔɪnɪŋ/	adjoining
/ɐdʒˈɔɪnz/	adjoins
/ɐdʒˈɜːn/	adjourn
/ɐdʒˈɜːnd/	adjourned
/ɐdʒˈɜːnɪŋ/	adjourning
/ɐdʒˈɜːnmənt/	adjournment
/ɐdʒˈɜːnz/	adjourns
/ɐdʒˈʌdʒd/	adjudged
/ɐdʒˈuːdɪkˌeɪtɪd/	adjudicated
/ɐdʒˈuːdɪkˌeɪt/	adjudicate
/ɐdʒˈuːdɪkˌeɪts/	adjudicates
/ɐdʒˈuːdɪkˌeɪtɪŋ/	adjudicating
/ɐdʒˌuːdɪkˈeɪʃən/	adjudication
/ɐdʒˌuːdɪkˈeɪʃənz/	adjudications
/ɐdʒˈuːdɪkˌeɪtɐ/	adjudicator
/ɐdʒˈuːdɪkˌeɪtəz/	adjudicators
